#name,comment

DAQ,livetime
cut_primary cut_seamuon cut_in cut_nu,Emin Emax cosTmin cosTmax
generator physics simul,program version date time
seed,program level iseed
PM1_type_area,type area TTS
PDF,i1 i2
model,interaction muon scattering numberOfEnergyBins
can,zmin zmax r
genvol,zmin zmax r volume numberOfEvents
merge,time gain
coord_origin,x y z
translate,x y z
genhencut,gDir Emin
k40,rate time
norma,primaryFlux numberOfPrimaries
livetime,numberOfSeconds errorOfSeconds
flux,type key file_1 file_2
spectrum,alpha
fixedcan,xcenter ycenter zmin zmax radius
start_run,run_id
